Bremen Dillener Park,53.188391,8.547833,02:54:43,2024-02-28,night,51,51,0,,,
Bremen Dohlenstraße,53.135314,8.73091,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Gravestraße,53.090592,8.911317,02:54:43,2024-02-28,night,37,37,0,,,
Bremen Graubündener Straße,53.071396,8.949386,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Gröpelingen,53.120574,8.753003,02:54:43,2024-02-28,night,34,34,0,,,
Bremen Bahnhof Walle,53.102536,8.785338,02:54:43,2024-02-28,night,17,17,0,,,
Bremen Mercedes-Benz Tor 8,53.065007,8.914263,02:54:43,2024-02-28,night,47,47,0,,,
Bremen-Burg(Bus),53.16061,8.704381,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Steubenstraße,53.071445,8.863627,02:54:43,2024-02-28,night,16,16,0,,,
Bremen Dietrich-Bonhoeffer-Straße,53.078614,8.903285,02:54:43,2024-02-28,night,34,34,0,,,
Bremen Glockenstraße/Bf Hemelingen,53.055964,8.888368,02:54:43,2024-02-28,night,37,37,0,,,
Bremen Gottfried-Menken-Straße,53.062116,8.801724,02:54:43,2024-02-28,night,37,37,0,,,
Bremen Mülheimer Straße,53.074913,8.925897,02:54:43,2024-02-28,night,120,120,0,,,
Bremen An der Lehmkuhle,53.193711,8.566023,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Mühlenfeldstraße,53.089905,8.93411,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Hohweg,53.11159,8.797908,02:54:43,2024-02-28,night,77,77,0,,,
Bremen Lise-Meitner-Straße,53.103608,8.855622,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Achterdiek,53.089206,8.900648,02:54:43,2024-02-28,night,33,33,0,,,
Bremen Munte,53.10478,8.840919,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Agnes-Heineken-Straße,53.038759,8.832342,02:54:43,2024-02-28,night,41,41,0,,,
Bremen Berliner Freiheit,53.079384,8.893002,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Beim Kleinen Tagwerk,53.09658,8.909506,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Beim Bohnenhof,53.051383,8.949641,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Berufsbildungswerk,53.102639,8.859212,02:54:43,2024-02-28,night,34,34,0,,,
Schwanewede Insterburger Weg,53.219785,8.589594,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Landrat-Berthold-Straße,53.197066,8.571969,02:54:43,2024-02-28,night,51,51,0,,,
Bremen Ringofenstraße,53.207153,8.578497,02:54:43,2024-02-28,night,51,51,0,,,
Bremen Wätjens Park,53.17999,8.588774,02:54:43,2024-02-28,night,55,55,0,,,
Bremen Fährgrund,53.175321,8.612803,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Bremer Vulkan,53.177414,8.601612,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Bahnhof Vegesack,53.169621,8.627897,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Senator-Theil-Straße,53.037688,8.851272,02:54:43,2024-02-28,night,41,41,0,,,
Bremen Stenumer Straße,53.054889,8.814727,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Stellichter Straße,53.071641,8.882724,02:54:43,2024-02-28,night,28,28,0,,,
Bremen Deliusweg,53.089179,8.892313,02:54:43,2024-02-28,night,112,112,0,,,
Bremen Delfter Straße,53.043866,8.723196,02:54:43,2024-02-28,night,13,13,0,,,
Bremen Egestorff-Stiftung,53.057474,8.954588,02:54:43,2024-02-28,night,41,41,0,,,
Bremen Düsseldorfer Straße,53.073339,8.930294,02:54:43,2024-02-28,night,45,45,0,,,
Bremen Hüttenhafen,53.131649,8.722021,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Eggestedter Straße,53.191589,8.561986,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Findorffallee,53.090284,8.813487,02:54:43,2024-02-28,night,29,29,0,,,
Bremen Fellendsweg,53.051538,8.839582,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Fähre Farge,53.199224,8.526993,02:54:43,2024-02-28,night,56,56,0,,,
Bremen Morsumer Straße,53.02783,8.818821,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Am Geestkamp,53.147399,8.711405,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Am Fuchsberg,53.129774,8.743113,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Müdener Straße,53.074036,8.875811,02:54:43,2024-02-28,night,28,28,0,,,
Bremen Am Großen Kuhkamp,53.048153,8.950356,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Am Fillerkamp,53.198973,8.5539,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Robert-Koch-Straße,53.043,8.824685,02:54:43,2024-02-28,night,41,41,0,,,
Bremen Theater am Goetheplatz,53.072382,8.816868,02:54:43,2024-02-28,night,22,22,0,,,
Bremen Weserpark-Süd,53.046294,8.957571,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Theodor-Heuss-Allee,53.088125,8.808212,02:54:43,2024-02-28,night,29,29,0,,,
Bremen Knoops Park,53.165632,8.67699,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Kluvenhagener Straße,53.038307,8.939628,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Kleine Marschstraße,53.040635,8.883995,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Süntelstraße,53.039767,8.908775,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Universität-Nord,53.11064,8.854691,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Kattenturm-Mitte,53.035323,8.826916,02:54:43,2024-02-28,night,40,40,0,,,
Bremen Doventor,53.083948,8.797781,02:54:43,2024-02-28,night,20,20,0,,,
Bremen Dortmunder Straße,53.059135,8.778001,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Fährer Kämpe,53.184281,8.613111,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Fähre Blumenthal,53.183148,8.562472,02:54:43,2024-02-28,night,51,51,0,,,
Bremen Betriebshof Blumenthal,53.193581,8.56044,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Rönnebecker Straße,53.185739,8.555946,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Krefelder Straße,53.071128,8.929917,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Krimpelweg,53.043223,8.816081,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Burgdammer Ring,53.169682,8.712631,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Friedrich-Karl-Straße,53.075347,8.844205,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Friedhof Huckelriede,53.050376,8.828599,02:54:43,2024-02-28,night,37,37,0,,,
Bremen Friedrich-Mißler-Straße,53.08715,8.871199,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Riespot,53.129117,8.711446,02:54:43,2024-02-28,night,52,52,0,,,
