"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000009000035,000009000035,2,300,,,,
000000846318,000000846318,2,120,,,,
000000846318,000000846318,2,120,"48692","48692",,
000000848254,000000848254,2,120,,,,
000000848253,000000848253,2,120,,,,
000000848252,000000848252,2,120,,,,
000008000364,000008000364,2,240,,,,
000008000240,000008000240,2,420,,,,
000008000243,000008000243,2,300,,,,
000008000244,000008000244,2,300,,,,
000000846317,000000846317,2,120,,,,
000000846312,000000846312,2,120,,,,
000000803692,000000803692,2,120,,,,
000000846313,000000846313,2,120,,,,
000000846310,000000846310,2,120,,,,
000000858421,000000858421,2,120,,,,
000000846311,000000846311,2,120,,,,
000000858420,000000858420,2,120,,,,
000008004626,000008004626,2,300,,,,
000008007831,000008007831,2,300,,,,
000008012351,000008012351,2,300,,,,
000000846270,000000846270,2,120,,,,
000000846270,000000846270,2,60,"48689","48689",,
000000846278,000000846278,2,120,,,,
000000846316,000000846316,2,120,,,,
000008012352,000008012352,2,300,,,,
000000847825,000000847825,2,120,,,,
000000847820,000000847820,2,120,,,,
000008006541,000008006541,2,300,,,,
000008001323,000008001323,2,300,,,,
000008001327,000008001327,2,300,,,,
000008011596,000008011596,2,300,,,,
000008005788,000008005788,2,300,,,,
000008000908,000008000908,2,360,,,,
000008005785,000008005785,2,300,,,,
000008013318,000008013318,2,300,,,,
000008003711,000008003711,2,300,,,,
000008005355,000008005355,2,300,,,,
000008013315,000008013315,2,300,,,,
000008002080,000008002080,2,300,,,,
000008000130,000008000130,2,240,,,,
000008000019,000008000019,2,180,,,,
000008010282,000008010282,2,240,,,,
000008000251,000008000251,2,240,,,,
000008000252,000008000252,2,300,,,,
000008000255,000008000255,2,300,,,,
000008006319,000008006319,2,300,,,,
000008004048,000008004048,2,300,,,,
000008012796,000008012796,2,300,,,,
000008002405,000008002405,2,180,,,,
000008002403,000008002403,2,300,,,,
000000170800,000000170800,2,120,,,,
000000171667,000000171667,2,120,,,,
000000171668,000000171668,2,120,,,,
000000171669,000000171669,2,120,,,,
000000177004,000000177004,2,180,,,,
000000171666,000000171666,2,120,,,,
000008001486,000008001486,2,300,,,,
000008004744,000008004744,2,300,,,,
000008004745,000008004745,2,300,,,,
000008012705,000008012705,2,300,,,,
000008003036,000008003036,2,300,,,,
000008012666,000008012666,2,360,,,,
000008001048,000008001048,2,300,,,,
000008003312,000008003312,2,300,,,,
000008001045,000008001045,2,300,,,,
000008002978,000008002978,2,300,,,,
000008013158,000008013158,2,300,,,,
000008005708,000008005708,2,180,,,,
000008005704,000008005704,2,300,,,,
000008000282,000008000282,2,240,,,,
000008000286,000008000286,2,420,,,,
000008005662,000008005662,2,300,,,,
000008005663,000008005663,2,300,,,,
000008002369,000008002369,2,300,,,,
000008000725,000008000725,2,300,,,,
000008005888,000008005888,2,300,,,,
000008010205,000008010205,2,420,,,,
000008010203,000008010203,2,240,,,,
000008004751,000008004751,2,300,,,,
000008003640,000008003640,2,300,,,,
000008010097,000008010097,2,300,,,,
000008011602,000008011602,2,240,,,,
000008010093,000008010093,2,240,,,,
000008000101,000008000101,2,180,,,,
000008000102,000008000102,2,300,,,,
000008000105,000008000105,2,480,,,,
000008000107,000008000107,2,240,,,,
000008000068,000008000068,2,420,,,,
000008003659,000008003659,2,300,,,,
000008000118,000008000118,2,360,,,,
000008003655,000008003655,2,300,,,,
000008013250,000008013250,2,300,,,,
000008000115,000008000115,2,420,,,,
000008000780,000008000780,2,300,,,,
000008004297,000008004297,2,300,,,,
000008010385,000008010385,2,240,,,,
000008000071,000008000071,2,300,,,,
000008000073,000008000073,2,180,,,,
000008000076,000008000076,2,240,,,,
000008000074,000008000074,2,300,,,,
000008012492,000008012492,2,240,,,,
000008012494,000008012494,2,240,,,,
000008002507,000008002507,2,180,,,,
000008004735,000008004735,2,300,,,,
000008002461,000008002461,2,300,,,,
000008000159,000008000159,2,300,,,,
000008011657,000008011657,2,300,,,,
000008000150,000008000150,2,360,,,,
000008000151,000008000151,2,300,,,,
000008000152,000008000152,2,480,,,,
000008000156,000008000156,2,360,,,,
000008002304,000008002304,2,300,,,,
000008006484,000008006484,2,300,,,,
000008006482,000008006482,2,300,,,,
000008000623,000008000623,2,300,,,,
000008000624,000008000624,2,300,,,,
000008000627,000008000627,2,300,,,,
000008002262,000008002262,2,300,,,,
000008010220,000008010220,2,180,,,,
000008010226,000008010226,2,240,,,,
000008010224,000008010224,2,300,,,,
000008002549,000008002549,2,480,,,,
000008002548,000008002548,2,300,,,,
