stop_id,stop_name,stop_lat,stop_lon
9014250,Bremen Utbremer Ring,53.098252,8.812582
9013983,Bremen Innsbrucker Straße,53.101476,8.814684
9014161,Bremen Rudolf-Alexander-Schröder-Straße,53.100837,8.817501
9013961,Bremen Hohentorsplatz,53.072895,8.788779
9013740,Bremen Bahnhof Neustadt,53.075635,8.784052
9013972,Bremen Huder Straße,53.079615,8.776158
9013837,Bremen Dötlinger Straße,53.081692,8.772089
9014137,Bremen Rechtenflether Straße,53.084331,8.766262
9014303,Bremen Woltmershauser Friedhof,53.087386,8.76182
9014224,Bremen Stromer Straße,53.088699,8.7536
9014094,Bremen Neuer Schutzdeich,53.085894,8.752739
9014096,Bremen Neustädter Hafen,53.088685,8.744386
9014011,Bremen Klärwerk,53.110187,8.716313
9014328,Bremen-Seehausen Schule,53.110894,8.709551
