stop_name,stop_lat,stop_lon,current_time,current_date,daytime
Bremen Kleine Marschstraße,53.040635,8.883995,02:44:51,2024-02-16,night
Bremen Süntelstraße,53.039767,8.908775,02:44:51,2024-02-16,night
Bremen Universität-Nord,53.11064,8.854691,02:44:51,2024-02-16,night
Bremen Kattenturm-Mitte,53.035323,8.826916,02:44:51,2024-02-16,night
Bremen Doventor,53.083948,8.797781,02:44:51,2024-02-16,night
Bremen Dortmunder Straße,53.059135,8.778001,02:44:51,2024-02-16,night
Bremen Fährer Kämpe,53.184281,8.613111,02:44:51,2024-02-16,night
Bremen Fähre Blumenthal,53.183148,8.562472,02:44:51,2024-02-16,night
Bremen Betriebshof Blumenthal,53.193581,8.56044,02:44:51,2024-02-16,night
Bremen Rönnebecker Straße,53.185739,8.555946,02:44:51,2024-02-16,night
Bremen Krefelder Straße,53.071128,8.929917,02:44:51,2024-02-16,night
Bremen Krimpelweg,53.043223,8.816081,02:44:51,2024-02-16,night
Bremen Burgdammer Ring,53.169682,8.712631,02:44:51,2024-02-16,night
Bremen Friedrich-Karl-Straße,53.075347,8.844205,02:44:51,2024-02-16,night
Bremen Friedhof Huckelriede,53.050376,8.828599,02:44:51,2024-02-16,night
Bremen Friedrich-Mißler-Straße,53.08715,8.871199,02:44:51,2024-02-16,night
Bremen Riespot,53.129117,8.711446,02:44:51,2024-02-16,night
Bremen Riedemannstraße,53.135024,8.715458,02:44:51,2024-02-16,night
Bremen Klinikum Bremen-Ost,53.066199,8.943872,02:44:51,2024-02-16,night
Bremen Burger Dorfstraße,53.155015,8.70459,02:44:51,2024-02-16,night
Bremen Brünsweg,53.044354,8.897381,02:44:51,2024-02-16,night
Bremen Fresenbergstraße,53.18387,8.573123,02:44:51,2024-02-16,night
Bremen Friedhof Huchting,53.038981,8.728576,02:44:51,2024-02-16,night
Bremen St.-Magnus-Straße,53.092578,8.784457,02:44:51,2024-02-16,night
Bremen Sandkuhlenweg,53.225303,8.510034,02:44:51,2024-02-16,night
Bremen Hermann-Osterloh-Straße,53.039052,8.932274,02:44:51,2024-02-16,night
Bremen Hermann-Koenen-Straße,53.071088,8.916126,02:44:51,2024-02-16,night
Bremen Hermann-Helms-Straße,53.033495,8.850653,02:44:51,2024-02-16,night
Bremen Hermann-Funk-Straße,53.056807,8.880991,02:44:51,2024-02-16,night
Bremen Brandenburger Straße,53.082128,8.867423,02:44:51,2024-02-16,night
Bremen Brunnenstraße,53.072248,8.82864,02:44:51,2024-02-16,night
Bremen Ruppertshainer Straße,53.044297,8.922371,02:44:51,2024-02-16,night
Bremen Rotterdamer Straße,53.040909,8.731048,02:44:51,2024-02-16,night
Bremen Rotdornallee,53.173313,8.688119,02:44:51,2024-02-16,night
Bremen Saarstraße,53.059599,8.90939,02:44:51,2024-02-16,night
Bremen Herbststraße,53.090874,8.805639,02:44:51,2024-02-16,night
Bremen Herbartstraße,53.188459,8.640607,02:44:51,2024-02-16,night
Bremen Bf Klinikum Bremen-Nord,53.183616,8.595786,02:44:51,2024-02-16,night
Bremen Panrepel-Süd,53.042473,8.961146,02:44:51,2024-02-16,night
Bremen Panrepel-Nord,53.045949,8.965827,02:44:51,2024-02-16,night
Bremen Otto-Braun-Straße,53.086101,8.886604,02:44:51,2024-02-16,night
Bremen Parkallee,53.099188,8.837012,02:44:51,2024-02-16,night
Bremen Hohenhorster Weg,53.044809,8.736153,02:44:51,2024-02-16,night
Bremen Holsteiner Straße,53.103246,8.794121,02:44:51,2024-02-16,night
Bremen Ermlandstraße,53.196601,8.549472,02:44:51,2024-02-16,night
Bremen Colshornstraße,53.038246,8.925009,02:44:51,2024-02-16,night
Bremen Im Holze,53.099087,8.921967,02:44:51,2024-02-16,night
