stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Fährgrund,53.175321,8.612803,Bremen Fährgrund,29.0,43.0
Bremen Bremer Vulkan,53.177414,8.601612,Bremen Bremer Vulkan,36.0,44.0
Bremen Bahnhof Vegesack,53.169621,8.627897,Bremen Bahnhof Vegesack,38.0,45.0
Bremen Senator-Theil-Straße,53.037688,8.851272,Bremen Senator-Theil-Straße,32.0,40.0
Bremen Stenumer Straße,53.054889,8.814727,Bremen Stenumer Straße,24.0,36.0
Bremen Stellichter Straße,53.071641,8.882724,Bremen Stellichter Straße,28.0,28.0
Bremen Deliusweg,53.089179,8.892313,Bremen Deliusweg,112.0,112.0
Bremen Delfter Straße,53.043866,8.723196,Bremen Delfter Straße,8.0,13.0
Bremen Egestorff-Stiftung,53.057474,8.954588,Bremen Egestorff-Stiftung,9.0,43.0
Bremen Düsseldorfer Straße,53.073339,8.930294,Bremen Düsseldorfer Straße,45.0,45.0
Bremen Hüttenhafen,53.131649,8.722021,Bremen Hüttenhafen,31.0,50.0
Bremen Eggestedter Straße,53.191589,8.561986,Bremen Eggestedter Straße,36.0,47.0
Bremen Findorffallee,53.090284,8.813487,Bremen Findorffallee,19.0,28.0
Bremen Fellendsweg,53.051538,8.839582,Bremen Fellendsweg,43.0,43.0
Bremen Fähre Farge,53.199224,8.526993,Bremen Fähre Farge,40.0,56.0
Bremen Morsumer Straße,53.02783,8.818821,Bremen Morsumer Straße,31.0,38.0
Bremen Am Geestkamp,53.147399,8.711405,Bremen Am Geestkamp,31.0,43.0
Bremen Am Fuchsberg,53.129774,8.743113,Bremen Am Fuchsberg,29.0,47.0
Bremen Müdener Straße,53.074036,8.875811,Bremen Müdener Straße,28.0,28.0
Bremen Am Großen Kuhkamp,53.048153,8.950356,Bremen Am Großen Kuhkamp,37.0,44.0
Bremen Am Fillerkamp,53.198973,8.5539,Bremen Am Fillerkamp,38.0,38.0
Bremen Robert-Koch-Straße,53.043,8.824685,Bremen Robert-Koch-Straße,28.0,43.0
Bremen Theater am Goetheplatz,53.072382,8.816868,Bremen Theater am Goetheplatz,16.0,23.0
Bremen Weserpark-Süd,53.046294,8.957571,Bremen Weserpark-Süd,22.0,48.0
Bremen Theodor-Heuss-Allee,53.088125,8.808212,Bremen Theodor-Heuss-Allee,29.0,29.0
Bremen Knoops Park,53.165632,8.67699,Bremen Knoops Park,46.0,46.0
Bremen Kluvenhagener Straße,53.038307,8.939628,Bremen Kluvenhagener Straße,30.0,46.0
Bremen Kleine Marschstraße,53.040635,8.883995,Bremen Kleine Marschstraße,50.0,50.0
Bremen Süntelstraße,53.039767,8.908775,Bremen Süntelstraße,46.0,46.0
Bremen Universität-Nord,53.11064,8.854691,Bremen Universität-Nord,52.0,52.0
Bremen Kattenturm-Mitte,53.035323,8.826916,Bremen Kattenturm-Mitte,26.0,39.0
Bremen Doventor,53.083948,8.797781,Bremen Doventor,12.0,19.0
Bremen Dortmunder Straße,53.059135,8.778001,Bremen Dortmunder Straße,44.0,44.0
Bremen Fährer Kämpe,53.184281,8.613111,Bremen Fährer Kämpe,31.0,44.0
Bremen Fähre Blumenthal,53.183148,8.562472,Bremen Fähre Blumenthal,30.0,49.0
Bremen Betriebshof Blumenthal,53.193581,8.56044,Bremen Betriebshof Blumenthal,27.0,47.0
Bremen Rönnebecker Straße,53.185739,8.555946,Bremen Rönnebecker Straße,40.0,40.0
Bremen Krefelder Straße,53.071128,8.929917,Bremen Krefelder Straße,42.0,42.0
Bremen Krimpelweg,53.043223,8.816081,Bremen Krimpelweg,27.0,49.0
Bremen Burgdammer Ring,53.169682,8.712631,Bremen Burgdammer Ring,39.0,46.0
Bremen Friedrich-Karl-Straße,53.075347,8.844205,Bremen Friedrich-Karl-Straße,24.0,39.0
Bremen Friedhof Huckelriede,53.050376,8.828599,Bremen Friedhof Huckelriede,37.0,37.0
Bremen Riespot,53.129117,8.711446,Bremen Riespot,30.0,50.0
Bremen Riedemannstraße,53.135024,8.715458,Bremen Riedemannstraße,30.0,50.0
Bremen Klinikum Bremen-Ost,53.066199,8.943872,Bremen Klinikum Bremen-Ost,23.0,41.0
Bremen Burger Dorfstraße,53.155015,8.70459,Bremen Burger Dorfstraße,28.0,42.0
Bremen Brünsweg,53.044354,8.897381,Bremen Brünsweg,27.0,38.0
