stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed,Verkehrsauslastung in %
53.192655,8.574816,Bremen Bockhorner Weg,33.0,47.0,0.2979
53.188353,8.577122,Bremen Martin-Luther-Straße,36.0,45.0,0.2
53.202561,8.571028,Bremen Steenkuhlenweg,38.0,38.0,0.0
53.20506,8.574616,Bremen Hegeweg,38.0,38.0,0.0
53.171129,8.684687,Bremen Bahnhof Lesum,39.0,50.0,0.22
53.060398,8.765164,Bremen Bardenflethstraße,51.0,51.0,0.0
53.081052,8.843632,Bremen Verdunstraße,44.0,51.0,0.1373
53.052665,8.715193,Bremen Flämische Straße,11.0,13.0,0.1538
53.037378,8.837386,Bremen Brenningstraße,29.0,38.0,0.2368
53.169581,8.688774,Bremen-Lesum Kirche,25.0,35.0,0.2857
53.036445,8.817585,Bremen Klinikum Haupteingang,29.0,44.0,0.3409
53.175454,8.706396,Bremen Burgdammer Postweg,28.0,37.0,0.2432
53.099911,8.820266,Bremen Weidedamm-Nord,29.0,39.0,0.2564
53.030449,8.81252,Bremen Kattenescher Weg,30.0,38.0,0.2105
53.092162,8.7508,Bremen Bakeweg,36.0,36.0,0.0
53.094408,8.748123,Bremen Roccoweg,36.0,36.0,0.0
53.082939,8.768963,Bremen Wildeshauser Straße,38.0,38.0,0.0
53.096063,8.746105,Bremen Rablinghausen,38.0,38.0,0.0
53.094805,8.80845,Bremen Hemmstraße,31.0,38.0,0.1842
53.098252,8.812582,Bremen Utbremer Ring,31.0,38.0,0.1842
53.101476,8.814684,Bremen Innsbrucker Straße,31.0,38.0,0.1842
53.100837,8.817501,Bremen Rudolf-Alexander-Schröder-Straße,29.0,39.0,0.2564
53.072895,8.788779,Bremen Hohentorsplatz,18.0,28.0,0.3571
53.075635,8.784052,Bremen Bahnhof Neustadt,36.0,36.0,0.0
53.079615,8.776158,Bremen Huder Straße,38.0,38.0,0.0
53.081692,8.772089,Bremen Dötlinger Straße,36.0,36.0,0.0
53.084331,8.766262,Bremen Rechtenflether Straße,36.0,36.0,0.0
53.087386,8.76182,Bremen Woltmershauser Friedhof,36.0,36.0,0.0
53.088699,8.7536,Bremen Stromer Straße,21.0,32.0,0.3438
53.085894,8.752739,Bremen Neuer Schutzdeich,21.0,32.0,0.3438
53.088685,8.744386,Bremen Neustädter Hafen,56.0,56.0,0.0
53.110187,8.716313,Bremen Klärwerk,53.0,53.0,0.0
53.110894,8.709551,Bremen-Seehausen Schule,55.0,55.0,0.0
53.11568,8.704411,Bremen Ortsamt Seehausen,53.0,53.0,0.0
53.116712,8.700237,Bremen Kriegerdenkmal,53.0,53.0,0.0
53.116538,8.697117,Bremen Hasenbüren Hagens,53.0,53.0,0.0
53.116764,8.690902,Bremen Am Glockenstein,53.0,53.0,0.0
53.116457,8.683115,Bremen Stumper,55.0,55.0,0.0
53.117578,8.678985,Bremen Wessels,55.0,55.0,0.0
53.119649,8.674182,Bremen Hasenbürener Deich,55.0,55.0,0.0
53.120653,8.671538,Bremen Hasenbüren,55.0,55.0,0.0
53.085385,8.717639,Bremen GVZ-Zentralbereich,103.0,103.0,0.0
53.094089,8.699587,Bremen Erich-Kühlmann-Straße,103.0,103.0,0.0
